大阪市平野区,"['', '瓜破', '瓜破西', '瓜破東', '瓜破南', '加美北', '加美鞍作', '加美正覚寺', '加美西', '加美東', '加美南', '加美南', '喜連', '喜連西', '喜連東', '背戸口', '背戸口', '長吉川辺', '長吉川辺', '長吉出戸', '長吉長原', '長吉長原西', '長吉長原東', '長吉六反', '流町', '西脇', '平野市町', '平野上町', '平野北', '平野西', '平野西', '平野馬場', '平野東', '平野本町', '平野南', '平野宮町', '平野元町']"
大阪市北区,"['', '池田町', '浮田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '梅田', '扇町', '扇町', '扇町', '扇町', '大深町', '大深町', '大深町', '大深町', '大淀北', '大淀北', '大淀北', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀中', '大淀南', '大淀南', '角田町', '角田町', '角田町', '角田町', '角田町', '神山町', '菅栄町', '黒崎町', '紅梅町', '国分寺', '小松原町', '小松原町', '芝田', '芝田', '芝田', '芝田', '芝田', '末広町', '菅原町', '曽根崎', '曽根崎', '曽根崎新地', '太融寺町', '茶屋町', '茶屋町', '茶屋町', '茶屋町', '茶屋町', '茶屋町', '鶴野町', '鶴野町', '鶴野町', '天神西町', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天神橋', '天満', '天満', '天満', '天満', '天満', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '天満橋', '堂島', '堂島', '堂島', '堂島', '堂島', '堂島', '堂島', '堂島浜', '堂島浜', '堂島浜', '堂島浜', '堂島浜', '堂島浜', '堂島浜', '同心', '同心', '堂山町', '兎我野町', '豊崎', '豊崎', '豊崎', '豊崎', '豊崎', '中崎', '中崎', '中崎西', '中崎西', '中崎西', '中崎西', '中崎西', '中崎西', '中津', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '中之島', '長柄中', '長柄西', '長柄東', '浪花町', '錦町', '西天満', '西天満', '西天満', '西天満', '西天満', '西天満', '西天満', '西天満', '西天満', '野崎町', '野崎町', '野崎町', '野崎町', '野崎町', '野崎町', '野崎町', '野崎町', '野崎町', '万歳町', '万歳町', '東天満', '東天満', '樋之口町', '本庄西', '本庄西', '本庄東', '本庄東', '本庄東', '松ケ枝町', '松ケ枝町', '南扇町', '南扇町', '南森町', '山崎町', '与力町']"
大阪市中央区,"['', '安土町', '安土町', '安土町', '淡路町', '淡路町', '淡路町', '淡路町', '淡路町', '安堂寺町', '安堂寺町', '和泉町', '和泉町', '糸屋町', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '今橋', '上汐', '上本町西', '上本町西', '上本町西', '上本町西', '上本町西', '上町', '内淡路町', '内久宝寺町', '内平野町', '内本町', '大阪城', '大手通', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '大手前', '瓦町', '瓦町', '瓦町', '瓦町', '瓦町', '瓦町', '瓦屋町', '神崎町', '北久宝寺町', '北新町', '北浜', '北浜', '北浜', '北浜', '北浜', '北浜', '北浜', '北浜', '北浜', '北浜', '北浜東', '北浜東', '北浜東', '北浜東', '北浜東', '北浜東', '北浜東', '久太郎町', '久太郎町', '久太郎町', '久太郎町', '久太郎町', '久太郎町', '久太郎町', '久太郎町', '久太郎町', '高津', '高津', '高麗橋', '高麗橋', '高麗橋', '高麗橋', '高麗橋', '粉川町', '石町', '石町', '材木町', '島之内', '島町', '十二軒町', '十二軒町', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '城見', '心斎橋筋', '心斎橋筋', '心斎橋筋', '千日前', '船場中央', '船場中央', '宗右衛門町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '谷町', '玉造', '玉造', '玉造', '釣鐘町', '釣鐘町', '天満橋京町', '道頓堀', '道頓堀', '東平', '常盤町', '徳井町', '道修町', '道修町', '道修町', '道修町', '道修町', '道修町', '道修町', '中寺', '難波', '難波', '難波', '難波', '難波', '難波千日前', '西心斎橋', '西心斎橋', '日本橋', '農人橋', '農人橋', '博労町', '博労町', '馬場町', '馬場町', '東高麗橋', '東高麗橋', '東心斎橋', '東心斎橋', '東心斎橋', '東心斎橋', '平野町', '平野町', '平野町', '平野町', '備後町', '備後町', '備後町', '備後町', '備後町', '備後町', '備後町', '備後町', '備後町', '伏見町', '伏見町', '伏見町', '伏見町', '伏見町', '伏見町', '伏見町', '伏見町', '船越町', '法円坂', '本町', '本町', '本町', '本町橋', '松屋町', '松屋町', '松屋町住吉', '南久宝寺町', '南久宝寺町', '南新町', '南船場', '南船場', '南船場', '南船場', '南船場', '南船場', '南船場', '南船場', '南船場', '南本町', '南本町', '南本町', '南本町', '南本町', '南本町', '南本町', '南本町', '森ノ宮中央', '森ノ宮中央', '鎗屋町', '龍造寺町']"
堺市堺区,"['', '浅香山町', '旭ケ丘北町', '旭ケ丘中町', '旭ケ丘南町', '旭通', '綾之町西', '綾之町東', '石津北町', '石津北町', '石津町', '一条通', '市之町西', '市之町東', '今池町', '永代町', '榎元町', '戎島町', '戎島町', '戎之町西', '戎之町東', '老松町', '老松町', '大町西', '大町東', '大浜北町', '大浜中町', '大浜西町', '大浜南町', '翁橋町', '遠里小野町', '海山町', '甲斐町西', '甲斐町東', '香ケ丘町', '香ケ丘町', '柏木町', '春日通', '霞ケ丘町', '神石市之町', '神南辺町', '北瓦町', '北向陽町', '北向陽町', '北向陽町', '北向陽町', '北清水町', '北庄町', '北田出井町', '北旅籠町西', '北旅籠町東', '北波止町', '北花田口町', '北半町西', '北半町東', '北丸保園', '北三国ケ丘町', '北安井町', '京町通', '協和町', '協和町', '錦綾町', '九間町西', '九間町東', '櫛屋町西', '櫛屋町東', '楠町', '熊野町西', '熊野町東', '車之町西', '車之町東', '向陵中町', '向陵西町', '向陵西町', '向陵東町', '五条通', '御陵通', '材木町西', '材木町東', '幸通', '栄橋町', '桜之町西', '桜之町東', '五月町', '三条通', '三宝町', '塩浜町', '四条通', '七条通', '七道西町', '七道東町', '東雲西町', '宿院町西', '宿院町東', '宿屋町西', '宿屋町東', '少林寺町西', '少林寺町東', '昭和通', '新在家町西', '新在家町東', '神保通', '新町', '神明町西', '神明町東', '菅原通', '砂道町', '住吉橋町', '大仙町', '大仙中町', '大仙西町', '大仙西町', '高砂町', '高須町', '匠町', '匠町', '匠町', '匠町', '匠町', '匠町', '匠町', '田出井町', '築港南町', '築港八幡町', '築港八幡町', '築港八幡町', '出島海岸通', '出島町', '出島西町', '出島浜通', '鉄砲町', '寺地町西', '寺地町東', '中瓦町', '中向陽町', '中田出井町', '中永山園', '中之町西', '中之町東', '中三国ケ丘町', '中安井町', '並松町', '南陵町', '賑町', '錦之町西', '錦之町東', '西永山園', '西湊町', '二条通', '東上野芝町', '東永山園', '東湊町', '松屋町', '松屋大和川通', '三国ケ丘御幸通', '緑ヶ丘北町', '緑ヶ丘中町', '緑ヶ丘南町', '緑町', '南瓦町', '南瓦町', '南瓦町', '南瓦町', '南瓦町', '南瓦町', '南向陽町', '南島町', '南清水町', '南庄町', '南田出井町', '南旅篭町西', '南旅篭町東', '南花田口町', '南花田口町', '南半町西', '南半町東', '南丸保園', '南三国ケ丘町', '南安井町', '百舌鳥夕雲町', '文珠橋通', '八千代通', '柳之町西', '柳之町東', '八幡通', '山本町', '竜神橋町', '陵西通', '六条通']"
堺市中区,"['', '上之', '大野芝町', '学園町', '学園町', '毛穴町', '小阪', '小阪西町', '新家町', '田園', '辻之', '陶器北', '土塔町', '楢葉', '土師町', '八田寺町', '八田北町', '八田西町', '八田南之町', '東八田', '東山', '平井', '深井北町', '深井沢町', '深井清水町', '深井中町', '深井畑山町', '深井東町', '深井水池町', '深阪', '福田', '伏尾', '堀上町', '見野山', '宮園町']"
堺市東区,"['', '石原町', '大美野', '北野田', '草尾', '丈六', '白鷺町', '関茶屋', '高松', '中茶屋', '西野', '野尻町', '日置荘北町', '日置荘田中町', '日置荘西町', '日置荘原寺町', '引野町', '菩提町', '南野田', '八下町']"
堺市西区,"['', '石津西町', '上野芝町', '上野芝向ケ丘町', '家原寺町', '家原寺町', '鳳北町', '鳳中町', '鳳西町', '鳳東町', '鳳南町', '上', '草部', '神野町', '小代', '下田町', '太平寺', '築港新町', '築港浜寺町', '築港浜寺町', '築港浜寺西町', '津久野町', '鶴田町', '浜寺石津町中', '浜寺石津町西', '浜寺石津町東', '浜寺公園町', '浜寺昭和町', '浜寺諏訪森町中', '浜寺諏訪森町西', '浜寺諏訪森町東', '浜寺船尾町西', '浜寺船尾町東', '浜寺南町', '浜寺元町', '原田', '八田寺町', '菱木', '平岡町', '北条町', '堀上緑町', '宮下町', '山田']"
堺市南区,"['竹城台', '三原台', '', '赤坂台', '泉田中', '稲葉', '岩室', '大庭寺', '大森', '片蔵', '釜室', '鴨谷台', '小代', '逆瀬川', '城山台', '新檜尾台', '太平寺', '高尾', '高倉台', '竹城台', '茶山台', '栂', '土佐屋台', '富蔵', '豊田', '庭代台', '野々井', '畑', '鉢ケ峯寺', '原山台', '晴美台', '檜尾', '深阪南', '別所', '槇塚台', '御池台', '美木多上', '三木閉', '三原台', '宮山台', '桃山台', '若松台', '和田', '和田東']"
堺市北区,"['', '奥本町', '金岡町', '金岡町', '北長尾町', '北花田町', '蔵前町', '黒土町', '東雲東町', '新金岡町', '新堀町', '船堂町', '常磐町', '長曽根町', '長曽根町', '長曽根町', '長曽根町', '中長尾町', '中村町', '中百舌鳥町', '野遠町', '東浅香山町', '東上野芝町', '東三国ケ丘町', '大豆塚町', '南長尾町', '南花田町', '宮本町', '百舌鳥赤畑町', '百舌鳥赤畑町', '百舌鳥梅北町', '百舌鳥梅北町', '百舌鳥梅町', '百舌鳥西之町', '百舌鳥本町', '百舌鳥陵南町', '八下北']"
堺市美原区,"['', '阿弥', '石原', '今井', '大饗', '北余部', '北余部西', '黒山', '黒山', '黒山', '小寺', '小平尾', 'さつき野西', 'さつき野東', '真福寺', '菅生', '青南台', '太井', '大保', '多治井', '丹上', '丹南', '平尾', '平尾', '菩提', '南余部', '南余部西', '木材通']"
岸和田市,"['', '阿間河滝町', '荒木町', '池尻町', '磯上町', '稲葉町', '今木町', '上町', '魚屋町', '内畑町', '戎町', '大北町', '大沢町', '大手町', '大町', '岡山町', '尾生町', '河合町', '額原町', '葛城町', '包近町', '上白原町', '上野町西', '上野町東', '上松町', '紙屋町', '加守町', '岸城町', '岸城町', '岸之浦町', '岸の丘町', '岸野町', '北阪町', '北町', '神須屋町', '神於町', '極楽寺町', '五軒屋町', '小松里町', '堺町', '作才町', '作才町', '三ケ山町', '地蔵浜町', '下池田町', '下野町', '下松町', '新港町', '筋海町', '相川町', '大工町', '田治米町', '積川町', '天神山町', '塔原町', '中井町', '中北町', '中之浜町', '中町', '流木町', '並松町', '西大路町', '西之内町', '沼町', '野田町', '畑町', '八幡町', '八田町', '土生滝町', '土生町', '土生町', '春木旭町', '春木泉町', '春木大小路町', '春木北浜町', '春木大国町', '春木中町', '春木本町', '春木南浜町', '春木宮川町', '春木宮本町', '春木元町', '春木若松町', '春木若松町', '東大路町', '東ケ丘町', '藤井町', '別所町', '本町', '真上町', '松風町', '摩湯町', '三田町', '箕土路町', '港緑町', '南上町', '南町', '宮前町', '宮本町', '宮本町', '木材町', '門前町', '八阪町', '山直中町', '行遇町', '吉井町', '臨海町']"
豊中市,"['', '赤阪', '旭丘', '石橋麻田町', '稲津町', '今在家町', '上野坂', '上野西', '上野東', '永楽荘', '大島町', '岡上の町', '岡上の町', '岡上の町', '岡上の町', '岡町', '岡町', '岡町北', '岡町北', '岡町南', '小曽根', '春日町', '勝部', '上新田', '神州町', '北桜塚', '北条町', '北緑丘', '熊野町', '栗ケ丘町', '上津島', '桜の町', '三和町', '柴原町', '柴原町', '島江町', '少路', '庄内幸町', '庄内幸町', '庄内栄町', '庄内宝町', '庄内西町', '庄内東町', '庄本町', '城山町', '新千里北町', '新千里西町', '新千里西町', '新千里西町', '新千里西町', '新千里西町', '新千里東町', '新千里東町', '新千里東町', '新千里東町', '新千里南町', '末広町', '清風荘', '千成町', '千成町', '千里園', '曽根西町', '曽根東町', '曽根南町', '大黒町', '立花町', '玉井町', '長興寺北', '長興寺南', '寺内', '寺内', '利倉', '利倉西', '利倉東', '利倉東', '刀根山', '刀根山', '刀根山元町', '中桜塚', '中桜塚', '西泉丘', '西緑丘', '野田町', '走井', '服部寿町', '服部西町', '服部本町', '服部南町', '服部元町', '服部豊町', '服部緑地', '浜', '原田中', '原田西町', '原田南', '原田元町', '東泉丘', '東寺内町', '東豊中町', '日出町', '日出町', '広田町', '二葉町', '宝山町', '豊南町西', '豊南町東', '豊南町南', '蛍池北町', '蛍池中町', '蛍池西町', '蛍池西町', '蛍池東町', '蛍池南町', '穂積', '本町', '待兼山町', '待兼山町', '待兼山町', '三国', '緑丘', '南桜塚', '箕輪', '箕輪', '宮山町', '向丘', '名神口', '山ノ上町', '夕日丘', '若竹町']"
池田市,"['', '旭丘', '綾羽', '井口堂', '石橋', '上池田', '宇保町', '木部町', '空港', '呉服町', '神田', '栄本町', '栄町', '五月丘', '渋谷', '城南', '城南', '城南', '城山町', '新町', '菅原町', '住吉', '荘園', 'ダイハツ町', '大和町', '建石町', '槻木町', '天神', '豊島北', '豊島南', '中川原町', '西本町', '畑', '八王寺', '鉢塚', '東山町', '姫室町', '伏尾台', '伏尾町', '古江町', '満寿美町', '満寿美町', '緑丘', '緑丘', '室町', '桃園', '吉田町']"
吹田市,"['', '青葉丘北', '青葉丘南', '青山台', '朝日が丘町', '朝日町', '泉町', '泉町', '内本町', '江坂町', '江坂町', '江の木町', '樫切山', '春日', '片山町', '片山町', '金田町', '上山田', '上山手町', '川岸町', '川園町', '岸部北', '岸部新町', '岸部新町', '岸部新町', '岸部中', '岸部南', '岸部南', '岸部南', '寿町', '佐井寺', '佐井寺南が丘', '幸町', '佐竹台', '五月が丘北', '五月が丘西', '五月が丘東', '五月が丘南', '芝田町', '清水', '尺谷', '昭和町', '新芦屋上', '新芦屋下', '吹東町', '末広町', '清和園町', '千里丘上', '千里丘北', '千里丘下', '千里丘中', '千里丘西', '千里万博公園', '千里万博公園', '千里万博公園', '千里山霧が丘', '千里山高塚', '千里山竹園', '千里山月が丘', '千里山西', '千里山虹が丘', '千里山東', '千里山星が丘', '千里山松が丘', '高城町', '高野台', '高浜町', '竹谷町', '竹見台', '垂水町', '垂水町', '津雲台', '出口町', '天道町', '豊津町', '豊津町', '中の島町', '長野西', '長野東', '西御旅町', '西の庄町', '原町', '東御旅町', '日の出町', '平松町', '広芝町', '広芝町', '広芝町', '藤が丘町', '藤白台', '藤白台', '古江台', '穂波町', '円山町', '南金田', '南正雀', '南吹田', '南吹田', '南清和園町', '南高浜町', '目俵町', '元町', '桃山台', '山田市場', '山田丘', '山田北', '山田西', '山田東', '山田南', '山手町', '山手町', '芳野町']"
泉大津市,"['', '青葉町', '旭町', '穴田', '我孫子', '綾井', '池浦', '池浦町', '池園町', '板原', '板原町', '上之町', '宇多', '戎町', '尾井千原町', '小津島町', '春日町', '要池住宅', '河原町', '河原町', '北豊中町', '楠町西', '楠町東', '下条町', '寿町', '小松町', '汐見町', '式内町', '下之町', '東雲町', '東雲町', '清水町', '条南町', '昭和町', '新港町', '神明町', '末広町', '菅原町', '助松団地', '助松町', '曽根町', '高津町', '田中町', '千原町', '豊中町', 'なぎさ町', '西港町', '東助松町', '東豊中町', '東港町', '二田町', '二田町', '本町', '松之浜町', '南曾根', '宮町', '虫取', '虫取町', '森町', '夕凪町', '夕凪町', '臨海町', '若宮町']"
高槻市,"['', '赤大路町', '芥川町', '明田町', '明野町', '朝日町', '朝日町', '阿武野', '阿武野', '安満磐手町', '天川新町', '天川町', '安満北の町', '安満御所の町', '安満新町', '安満中の町', '安満西の町', '安満東の町', '安岡寺町', '井尻', '出灰', '今城町', '美しが丘', '浦堂', '浦堂本町', '永楽町', '大冠町', '大塚町', '大塚町', '大塚町', '大塚町', '大塚町', '大塚町', '大手町', '大畑町', '岡本町', '奥天神町', '梶原', '梶原中村町', '春日町', '上田辺町', '上土室', '上本町', '唐崎', '唐崎北', '唐崎中', '唐崎中', '唐崎西', '唐崎南', '花林苑', '川久保', '川添', '川西町', '上牧北駅前町', '上牧町', '上牧南駅前町', '上牧山手町', '北大樋町', '北昭和台町', '北園町', '北柳川町', '北柳川町', '京口町', '郡家新町', '郡家本町', '高西町', '神内', '黄金の里', '古曽部町', '古曽部町', '寿町', '五領町', '紺屋町', '紺屋町', '西面北', '西面中', '西面南', '幸町', '幸町', '幸町', '栄町', '桜ケ丘北町', '桜ケ丘南町', '桜町', '桜町', '沢良木町', '沢良木町', '沢良木町', '三箇牧', '芝谷町', '芝生町', '芝生町', '芝生町', '清水台', '下田部町', '城西町', '城東町', '庄所町', '城内町', '城南町', '城北町', '昭和台町', '須賀町', '杉生', '辻子', '辻子', '辻子', '清福寺町', '大学町', '大学町', '大蔵司', '大和', '高垣町', '高槻町', '高見台', '竹の内町', '田能', '玉川', '玉川新町', '千代田町', '塚原', '塚脇', '月見町', '堤町', '津之江北町', '津之江町', '出丸町', '寺谷町', '天神町', '天王町', '道鵜町', '道鵜町', '桃園町', '桃園町', '東和町', '殿町', '土橋町', '登美の里町', '富田丘町', '富田町', '中川町', '中畑', '奈佐原', '奈佐原', '奈佐原', '奈佐原元町', '成合', '成合北の町', '成合中の町', '成合西の町', '成合東の町', '成合南の町', '南平台', '南平台', '西大樋町', '西冠', '西之川原', '西真上', '西町', '西五百住町', '如是町', '二料', '野田', '野田東', '登町', '野見町', '萩谷', '萩谷月見台', '萩之庄', '萩之庄', '白梅町', '白梅町', '白梅町', '柱本', '柱本新町', '柱本南町', '八丁畷町', '八丁西町', '土室町', '原', '番田', '東天川', '東上牧', '東上牧', '東城山町', '東五百住町', '氷室町', '日向町', '日吉台', '深沢町', '深沢本町', '藤の里町', '藤の里町', '別所新町', '別所中の町', '別所本町', '紅茸町', '本町', '前島', '真上町', '牧田町', '松が丘', '松川町', '松原町', '三島江', '三島江', '緑が丘', '緑町', '緑町', '南芥川町', '南大樋町', '南庄所町', '南総持寺町', '南松原町', '宮が谷町', '宮田町', '宮田町', '宮之川原', '宮之川原元町', '宮野町', '紫町', '名神町', '柳川町', '八幡町', '山手町', '弥生が丘町', '淀の原町', '霊仙寺町', '霊仙寺町', '若松町']"
貝塚市,"['清児新町', '近木町', '', '麻生中', '石才', '海塚', '海塚', '浦田', '王子', '大川', '加治', '加神', '北町', '秬谷', '久保', '窪田', '神前', '近木町', '小瀬', '木積', '澤', '澤', '地蔵堂', '地蔵堂', '新町', '清児', '蕎原', '津田', '津田北町', '津田南町', '津田南町', '堤', '鳥羽', '中町', '永吉', '名越', '新井', '新井', '二色', '二色北町', '二色中町', '二色中町', '二色中町', '二色港町', '二色南町', '西町', '橋本', '畠中', '畠中', '畠中', '馬場', '半田', '東', '東山', '福田', '堀', '三ケ山', '水間', '三ツ松', '三ツ松', '三ツ松', '港', '港', '南町', '森', '脇浜', '脇浜']"
守口市,"['', '暁町', '祝町', '梅園町', '梅町', '大枝北町', '大枝西町', '大枝東町', '大枝南町', '大久保町', '大庭町', '大宮通', '梶町', '梶町', '春日町', '金下町', '神木町', '河原町', '河原町', '菊水通', '金田町', '京阪北本通', '京阪本通', '京阪本通', '寿町', '小春町', '西郷通', '桜町', '佐太中町', '佐太中町', '佐太西町', '佐太東町', '早苗町', '寺内町', '下島町', '松月町', '新橋寺町', '外島町', '外島町', '大日町', '大日東町', '大門町', '高瀬旧大枝', '高瀬旧世木', '高瀬旧馬場', '高瀬町', '滝井西町', '滝井元町', '竹町', '竜田通', '寺方錦通', '寺方本通', '寺方元町', '土居町', '東光町', '東郷通', '東郷通', '藤田町', '藤田町', '豊秀町', '長池町', '日光町', '橋波西之町', '橋波東之町', '馬場町', '浜町', '東町', '日向町', '日吉町', '日吉町', '平代町', '文園町', '文園町', '文園町', '紅屋町', '北斗町', '本町', '松下町', '松下町', '松町', '緑町', '南寺方北通', '南寺方中通', '南寺方東通', '南寺方南通', '桃町', '八雲北町', '八雲中町', '八雲中町', '八雲西町', '八雲東町', '八雲東町', '八島町', '淀江町', '来迎町']"
枚方市,"['', '朝日丘町', '天之川町', '伊加賀北町', '伊加賀寿町', '伊加賀栄町', '伊加賀西町', '伊加賀東町', '伊加賀本町', '伊加賀緑町', '伊加賀南町', '池之宮', '磯島北町', '磯島茶屋町', '磯島南町', '磯島元町', '印田町', '上野', '宇山町', '宇山東町', '大垣内町', '大垣内町', '大垣内町', '大垣内町', '大峰北町', '大峰東町', '大峰南町', '大峰元町', '岡東町', '岡本町', '岡南町', '岡山手町', '小倉町', '小倉東町', '甲斐田新町', '甲斐田町', '甲斐田東町', '春日北町', '春日西町', '春日野', '春日東町', '春日元町', '片鉾東町', '片鉾本町', '上島町', '上島東町', '川原町', '菊丘町', '菊丘南町', '菊丘南町', '北片鉾町', '北楠葉町', '北中振', '北船橋町', '北山', '北山', '禁野本町', '禁野本町', '楠葉朝日', '楠葉丘', '楠葉中之芝', '楠葉中町', '楠葉並木', '楠葉野田', '楠葉花園町', '楠葉美咲', '楠葉面取町', '車塚', '高田', '交北', '高野道', '香里園桜木町', '香里園町', '香里園東之町', '香里園山之手町', '香里ケ丘', '黄金野', '御殿山町', '御殿山南町', '御殿山南町', '桜丘町', '桜町', '釈尊寺町', '招提大谷', '招提北町', '招提田近', '招提田近', '招提中町', '招提東町', '招提東町', '招提平野町', '招提南町', '招提元町', '新之栄町', '新町', '新町', '新町', '翠香園町', '杉', '杉北町', '杉責谷', '杉山手', '須山町', '宗谷', '尊延寺', '高塚町', '田口', '田口山', '田宮本町', '津田', '津田駅前', '津田北町', '津田西町', '津田東町', '津田南町', '津田元町', '津田山手', '堤町', '出口', '出屋敷西町', '出屋敷元町', '藤田町', '堂山', '堂山東町', '長尾荒阪', '長尾家具町', '長尾北町', '長尾台', '長尾谷町', '長尾谷町', '長尾峠町', '長尾西町', '長尾播磨谷', '長尾東町', '長尾宮前', '長尾元町', '中宮大池', '中宮大池', '中宮大池', '中宮北町', '中宮北町', '中宮西之町', '中宮東之町', '中宮東之町', '中宮本町', '中宮山戸町', '渚内野', '渚栄町', '渚西', '渚東町', '渚本町', '渚南町', '渚元町', '茄子作', '茄子作北町', '茄子作東町', '茄子作南町', '西禁野', '西招提町', '西田宮町', '西船橋', '西牧野', '野村北町', '野村中町', '野村南町', '野村元町', '走谷', '走谷', '東香里', '東香里新町', '東香里南町', '東香里元町', '東田宮', '東田宮', '東藤田町', '東中振', '東船橋', '東牧野町', '東山', '樋之上町', '氷室台', '枚方上之町', '枚方公園町', '枚方元町', '藤阪北町', '藤阪天神町', '藤阪中町', '藤阪西町', '藤阪東町', '藤阪南町', '藤阪元町', '船橋本町', '星丘', '星丘', '穂谷', '穂谷', '牧野北町', '牧野阪', '牧野下島町', '牧野本町', '町楠葉', '松丘町', '三矢町', '三矢町', '南楠葉', '南中振', '南船橋', '都丘町', '宮之阪', '宮之下町', '村野高見台', '村野西町', '村野東町', '村野本町', '村野南町', '三栗', '養父丘', '養父西町', '養父東町', '養父元町', '山田池北町', '山田池公園', '山田池東町', '山田池南町', '山之上', '山之上北町', '山之上西町', '山之上東町', '王仁公園']"
